id,Calories
750000,21.422
750001,114.684
750002,93.204
750003,130.784
750004,73.696
750005,7.735
750006,47.314
750007,12.041
750008,2.461
750009,192.205
750010,97.055
750011,194.086
750012,78.161
750013,209.048
750014,88.89
750015,145.485
750016,79.248
750017,172.668
750018,133.05
750019,193.834
750020,90.412
750021,67.42
750022,87.486
750023,-11.783
750024,35.693
750025,152.746
750026,78.179
750027,159.018
750028,109.077
750029,2.735
750030,91.786
750031,27.651
750032,40.819
750033,13.693
750034,106.301
750035,105.268
750036,58.84
750037,44.253
750038,161.728
750039,133.414
750040,124.694
750041,43.303
750042,89.166
750043,94.502
750044,174.241
750045,108.224
750046,219.168
750047,0.005
750048,40.275
750049,146.435
750050,200.644
750051,166.078
750052,10.796
750053,41.915
750054,74.703
750055,94.163
750056,122.716
750057,199.384
750058,133.777
750059,177.3
750060,114.597
750061,127.142
750062,121.634
750063,50.245
750064,133.224
750065,16.962
750066,37.437
750067,162.149
750068,-3.632
750069,164.545
750070,99.827
750071,169.512
750072,151.813
750073,25.583
750074,154.321
750075,140.993
750076,95.203
750077,-3.448
750078,137.877
750079,161.944
750080,61.41
750081,160.875
750082,9.032
750083,79.719
750084,137.605
750085,52.448
750086,17.241
750087,44.186
750088,27.255
750089,90.728
750090,14.132
750091,142.312
750092,55.161
750093,67.185
750094,5.898
750095,2.603
750096,17.948
750097,37.83
750098,173.758
750099,31.954
750100,14.997
750101,137.476
750102,91.624
750103,62.22
750104,59.54
750105,10.805
750106,22.515
750107,149.047
750108,-3.724
750109,43.782
750110,93.582
750111,38.962
750112,26.797
750113,109.0
750114,161.969
750115,74.512
750116,61.625
750117,139.913
750118,136.637
750119,18.134
750120,140.128
750121,127.399
750122,209.541
750123,77.732
750124,36.461
750125,157.495
750126,118.235
750127,116.63
750128,113.683
750129,37.942
750130,129.667
750131,192.38
750132,166.758
750133,121.131
750134,80.79
750135,112.535
750136,16.95
750137,132.68
750138,49.0
750139,74.572
750140,-2.046
750141,6.258
750142,77.403
750143,6.156
750144,98.967
750145,21.916
750146,17.742
750147,-18.402
750148,70.511
750149,87.758
750150,12.735
750151,69.12
750152,-8.683
750153,57.567
750154,174.044
750155,32.124
750156,161.421
750157,73.346
750158,40.83
750159,19.363
750160,14.627
750161,26.133
750162,119.513
750163,81.694
750164,79.482
750165,135.624
750166,41.688
750167,203.625
750168,31.072
750169,51.43
750170,44.366
750171,133.949
750172,134.694
750173,25.637
750174,67.056
750175,135.836
750176,162.89
750177,61.21
750178,53.039
750179,169.193
750180,32.798
750181,45.746
750182,73.698
750183,133.064
750184,58.425
750185,80.312
750186,161.277
750187,-10.823
750188,1.076
750189,138.829
750190,63.762
750191,78.979
750192,115.813
750193,59.712
750194,132.937
750195,145.45
750196,82.125
750197,58.726
750198,147.534
750199,21.994
750200,85.173
750201,211.194
750202,32.422
750203,216.428
750204,16.244
750205,204.135
750206,92.782
750207,69.425
750208,4.155
750209,80.778
750210,185.838
750211,61.192
750212,22.538
750213,28.175
750214,96.907
750215,28.823
750216,38.542
750217,15.462
750218,147.675
750219,17.318
750220,44.704
750221,71.147
750222,84.851
750223,9.568
750224,75.202
750225,124.419
750226,15.409
750227,97.492
750228,23.557
750229,178.964
750230,9.63
750231,-1.683
750232,137.884
750233,80.44
750234,28.391
750235,155.422
750236,14.509
750237,91.726
750238,72.6
